Dataset,EmbeddingStrategy,Architecture,TestBLEU,TestROUGE_L,CheckpointPath,BestValBLEU,BestValROUGE_L
Original_raw,bow,RNN,0.0313081197703634,0.003324468085106383,./outputs/qa_seq2seq_checkpoints/best_RNN.pt,0.04272838011775247,0.003234220135628586
Original_raw,bow,LSTM,0.031135728909424655,0.0013297872340425532,./outputs/qa_seq2seq_checkpoints/best_LSTM.pt,0.040404456763822094,0.0
Original_raw,bow,GRU,0.05020878110129408,0.005326344754536244,./outputs/qa_seq2seq_checkpoints/best_GRU.pt,0.05891297866747014,0.006629530532367846
Original_raw,bow,BiGRU,0.09072522861551152,0.012453038982294301,./outputs/qa_seq2seq_checkpoints/best_BiGRU.pt,0.10159458391461255,0.02110118956294046
Original_raw,tfidf,RNN,0.036587159987930856,0.0023936170212765957,./outputs/qa_seq2seq_checkpoints/best_RNN.pt,0.04719122487666882,0.0020865936358894104
Original_raw,tfidf,LSTM,0.025891127979513002,0.0006648936170212766,./outputs/qa_seq2seq_checkpoints/best_LSTM.pt,0.036435183207373,0.00028453549580310147
Original_raw,tfidf,GRU,0.03791383840512264,0.0026595744680851063,./outputs/qa_seq2seq_checkpoints/best_GRU.pt,0.04709979249446393,0.005972874282733437
Original_raw,tfidf,BiGRU,0.06853904707791013,0.012626070737772867,./outputs/qa_seq2seq_checkpoints/best_BiGRU.pt,0.07538520287218055,0.014472468932562831
Original_raw,w2v_sg,RNN,0.011801915358552689,0.0,./outputs/qa_seq2seq_checkpoints/best_RNN.pt,0.029514256187974354,0.0
Original_raw,w2v_sg,LSTM,0.010157507096938306,0.0026595744680851063,./outputs/qa_seq2seq_checkpoints/best_LSTM.pt,0.009713958928004576,0.0
Original_raw,w2v_sg,GRU,0.028039433661495684,0.0,./outputs/qa_seq2seq_checkpoints/best_GRU.pt,0.04035228379141433,0.001564945226917058
Original_raw,w2v_sg,BiGRU,0.05948279814786379,0.008162360688956432,./outputs/qa_seq2seq_checkpoints/best_BiGRU.pt,0.06796925932037327,0.008750652060511215
Original_raw,w2v_cbow,RNN,0.011504208734140393,0.0,./outputs/qa_seq2seq_checkpoints/best_RNN.pt,0.010788209079003354,0.0
Original_raw,w2v_cbow,LSTM,0.009747553843724839,0.0,./outputs/qa_seq2seq_checkpoints/best_LSTM.pt,0.009346523409649862,0.0
Original_raw,w2v_cbow,GRU,0.025186665360169606,0.0,./outputs/qa_seq2seq_checkpoints/best_GRU.pt,0.038273334076084936,0.001564945226917058
