question,reference,prediction,Dataset,Model,InputMode
أيتغير لون أوراق الأشجار في الخريف؟,يتغير لون أوراق الأشجار في الخريف.,الألوان هي اللون الأخضر والطلاء هو الأحمر والفستق الأسود لأنه يعكس الضوء الطبيعي من الداخل إلى الخارج بينما الأوراق الخضراء أو الداكنة تعكس الأشعة الشمسية لأنها تميل للون الأزرق والأخضر على عكس بقية النباتات الأخرى التي تظهر عليها الرطوبة والحرارة والضوء المباشر.4 زيت الزيتون يستخدم كمنتجات طبيعية مفيدة لصحة الشعر والبشرة وتحافظ عليه بفعالية أكبر لزيادة كثافة الشعيرات الدموية وتساعد فى الحفاظ علي نمو الخلايا الملونة والألياف الطبيعية وتعزيز الدورة الحيوية والحفاظ عل البشرة الدهنية.5 زيت زيتون وزيتون غني بالبروتين والفيتامينات والمعادن مثل فيتامين C,Tashkeel_Tatweel_Preprocessed,GPT,plain_question
أين دفن أبو بكر؟,ودفن في بيت عائشة بجانب قبر النبي.,قبر أبوبكر بن أبي عبيدة هو أحد الصحابة الذين قتلوا على يد رسول الله بمكة في معركة بدر الكبرى ، بعد أن غزا الحارث ابن الحضرمي[1][2] ثم قتله وحشيبن الزبير لأخيه مالك³6 ) [3 ] لما خرج عمرو من بني أمية إلى المدينة المنورة سنة إحدى عشرة للهجرة ودخلها بنو المغيرة الثقفي وعبد القيس وبنو سلمة وعمارقةوثم أخرجوا أهل مكة جميعا وقتلوا الوليد عبد الرحمن بن هشام المخزومي وعمرو ابنا سعد وابن عمر وخالدا ( 2)14,Tashkeel_Tatweel_Preprocessed,GPT,plain_question
لم تعتبر الديمقراطية نظام حكم فعال؟,تعتبر الديمقراطية نظام حكم فعال لأنها تعزز المشاركة الشعبية، تضمن حقوق الإنسان، وتحقق التوازن بين السلطات.,النظام الفعال هو نتاج طبيعي لأنه يشجع على احترام حقوق الإنسان والحريات العامة والمساواة بين المواطنين بغض النظر إلى القوانين المحلية والدولية مثل حرية التعبير والتجمع والتعددية الثقافية والاقتصادية والاجتماعية والسياسية والثقافية والدينية وحقوق المرأة ، وحرية التعليم والمعرفة والتعليم الجيد والسلطوية والبيئية والمهنية واحترام الحقوق المدنية وسيادة القانون والشفافية والعدالة الاجتماعية وتعزيز التنمية الاقتصادية والتنمية المستدامة . ويمثل أيضا دعما من خلال الحفاظ علي المساواة والديمقراطية والحرية والكرامة الإنسانية، وضمان الحق في المشاركة السياسية والأمن الاجتماعي والاقتصادي والاجتماعي والثقافي والفني والمهني والتعليمي؛ تعزيز العدالة المؤسسية والقانونية والقضائية والحقوق,Tashkeel_Tatweel_Preprocessed,GPT,plain_question
الغابات تعتبر رئة الأرض.,الغابات تعتبر رئة الأرض.,الجبال تعد من المصادر الطبيعية الغنية في العالم لأنها تحتوي على كميات كبيرة منها، وهي غنية بالمعادن مثل الفحم الحجري والنفط والمعادن والأحجار الكريمة والصخور المرجانية والأسمدة العضوية والحديد والنحاس والكيماويات الأخرى . وتعتبر النباتات الخضراء مصدرا مهما للتربة والسمك والمواشي والنباتات الجافة التي تغذي الحياة البحرية وتحافظ عليها بدرجة عالية جدا وتسهم بشكل كبير في الحفاظ علي التنوع البيولوجي الطبيعي وتساهم أيضا في تقليل التلوث البيئي وزيادة فرص تلوث الهواء والماء والبيئة العامة للبيئة المائية. بيدوتة تشمل مصادر الطاقة المتجددة وتشمل المعادن كالأ,Tashkeel_Tatweel_Preprocessed,GPT,plain_question
عم تكتب في وقت فراغك؟,أكتب في وقت فراغي عن تجاربي الشخصية، والمواضيع التي تهمني، والأفكار الإبداعية التي أود تطويرها.,اكتب وقتا محددا إذا كان لديك الوقت المناسب للنوم والاسترخاء أثناء النهار أو الاستيقاظ الباكر لأنه يؤثر على صحة جسمك ويساعد علي النوم العميق ويقلل من خطر الإصابة بالأمراض النفسية والاكتئاب والقلق والتوتر العصبي واضطرابات الدورة الدموية المرتبطة بالتوتر النفسي مثل الربو ومشاكل الجهاز التنفسي وأمراض القلب والأوعية القلبية والسكري والسرطان .كما أنه يساعد أيضا الحفاظ على الطاقة البدنية والعقلية والنشاط البدني والصحة الجيدة للصحة العامة ويعزز الصحة العقلية والنفسية ويحسن القدرة المعرفية وتعزز الأداء الاجتماعي والعاطفية، وتحسين نوعية الحياة الصحية والوقاية من الأمراض المزمنة وتعزيز المهارات الاجتماعية والاقتصادية والاجتماعية وتساعد,Tashkeel_Tatweel_Preprocessed,GPT,plain_question
لماذا لقب أبو بكر الصديق رضي الله عنه بهذا الاسم؟,لقب أبو بكر الصديق رضي الله عنه بهذا الاسم لأنه كان أول من صدق وآمن برسالة النبي محمد (صلى الله عليه وسلم) ودعمه بشكل كبير، ولصدقه وأمانته.,"أبي عمر اسم الصحابي هو عبد الرحمن بن القاسم بن إسحاق الأنصاري لأنه أسلم من الصحابة وقد ثبت في الصحيحين أنه شهد له رسول الله صلىالله عليه وسلم وشهد معه شهادة أن عليا مات بعد الهجرة النبوية كما روى البخاري ومسلم وابن حبان وفاته سنة خمس وعشرين للهجرة وكان الرسول محمد ابن طلحة قد دخل الكوفة ثم خرج إلى البصرة«الفرابي كان أول خليفة للنبي علي وتوفي بمكة قبل البعثة بثلاث سنين واستخلفه النبي ( ص ) على المدينة المنورة حيث توفي بالمدينة"" حارثة اسمه الحارث وهو مولى سعد",Tashkeel_Tatweel_Preprocessed,GPT,plain_question
لم ترغب في زيارة المتاحف؟,أرغب في زيارة المتاحف لأنها توفر لي فرصة للتعرف على التاريخ والفن والثقافات المختلفة بشكل مباشر.,رغبتي بزيارة متحف اللوفر أبوظبي هو أحد أهم متاحف العالم التي تحظى باهتمام عالمي لأنها تجمع بين الفنون والثقافة والفن والأزياء والفنون الجميلة والمتاحف المتنوعة من خلال تنوع الثقافات المختلفة مثل الفن الحديث والمعاصر ، والتربة والإذاعة والتلفزيون والموسيقى الكلاسيكية العالمية والمحلية والأفلام السينمائية والمعارض الفنية والترفيهية وغيرها. ترويجية السياحة تشمل المتحف الوطني الإماراتي ومتحف الإمارات للفنون والإبداع الذي يضم مجموعة كبيرة ومتنوعة تتضمن معرضا لأهم الفنانين العالميين بما فيها معرض « آرت ديكومنزايتس » ومعرض دبي الدولي للفن المعاصر ويضم قاعة فنية ضخمة تضم 15 جناح,Tashkeel_Tatweel_Preprocessed,GPT,plain_question
ما هي الأبراج القطبية؟,الأبراج القطبية هي أبراج اتصالات أو مراقبة تقع في المناطق القطبية، وتستخدم لأغراض عديدة مثل الأبحاث العلمية، ورصد الأحوال الجوية، والاتصالات الفضائية.,"برج الجوزاء هو ثاني أشهر أبراج العالم وأكثرها ارتفاعا في الكرة الأرضية بعد الشمس وهو """" القطب الشمالي من حيث يبلغ ارتفاعه 710 درجة مئوية ، يليه عطارد ثم زحل- المشتري ( 8 درجات ) وقمرا ].1147112والمريخ = 4 درجات الحرارة الكبرى على مدار الكوكب الأرضي.590 درجة حرارة الأرض الشمالية تشمل : أعلى نقطة يمثلها كوكب المريخ الأحمر[615درجة م) 11 درجة للشمس: 1هو 9 درجه حرارية تليها روسيا*",Tashkeel_Tatweel_Preprocessed,GPT,plain_question
من أرسل نور الدين محمود لمساعدة شاور في مصر؟,بينما استعان شاور بنور الدين محمود سلطان دولة الزنكيين في الموصل الذي أرسل قائده أسد الدين شيركوه ومعه ابن أخيه صلاح الدين الأيوبي إلى مصر.,أسمى النور يساعد على مساعدة الشعب المصري الذي يحتاج إلى دعم التعليم والتدريب المهني للشباب لأنه يوفر لهم فرصا وظيفية وفرص عمل جديدة مثل توفير فرص العمل المناسبة للجميع ، كما أنه يتيح الفرصة لزيادة الدخل القومي وضمان استمرار الحياة الكريمة للأجيال القادمة وتوفر الاستقرار الاجتماعي والاقتصادي والعدالة الاجتماعية والاقتصادية» أقدم لكم الضوء الأخضر للمساعدة التي يقدمها هذا البرنامج لدعم الأسر المصرية المحتاجة للتعليم الثانوي والمهني والتعليم العالي ودعم البحث العلمي والتنمية الاقتصادية المستدامة,Tashkeel_Tatweel_Preprocessed,GPT,plain_question
لماذا يعتبر الماء العنصر الأساسي لوجود حياة؟,يعتبر الماء العنصر الأساسي لوجود حياة لأنه يشكل جزءا كبيرا من أجسام الكائنات الحية، ويشارك في العمليات البيولوجية الأساسية مثل التمثيل الغذائي، ونقل المغذيات، وتنظيم درجة الحرارة.,للماء عنصر أساسي لتواجد الحياة لأنها تساهم في الحفاظ على التنوع البيولوجي والتنمية البيئية والتنوع الحيوي لأنه يحمي البيئة من المخاطر الطبيعية ويعزز إنتاج الطاقة النظيفة ويساهم أيضا بالصحة العامة للأفراد ويقلل مخاطر التلوث البيئي مثل السرطان وأمراض القلب والسكري والسرطان والأمراض المزمنة التي يسببها تلوث المياه العذبة .ويعتبر ماء البحر الأبيض أهم مصادر الغذاء الرئيسي بسبب انخفاض نسبة الرطوبة العالية وارتفاع مستوى البحار والمحيطات ، وتساهم فيه زيادة انبعاثات الكربون بنسبة 13 % سنويا بينما يحتوي سمكه 1010 غرامات مئوية منه علي موارد غير متجددة.41100 طن مياه,Tashkeel_Tatweel_Preprocessed,GPT,plain_question
ما هي أساليب التدريس الفعالة؟,أساليب التدريس الفعالة تشمل: التعلم التعاوني، التعليم القائم على المشاريع، استخدام التكنولوجيا في التعليم، تقديم التغذية الراجعة المستمرة، وتكييف التعليم لاحتياجات الطلاب الفردية.,الأساليب الناجحة تشمل : تدريس الرياضيات في الجامعات السعودية ، المناهج الدراسية المتخصصة، واستخدام الطلاب بفعالية على مستوى عال من الجودة والكفاءة العالية والتدريب المهني والتعليمي والعملي·ساعد المؤسسات التعليمية المحلية والدولية على تحسين البيئة المعيشية والبيئة الاقتصادية والبيئية المستدامة وضمان التنمية الاجتماعية والاقتصادية والاجتماعية والثقافية“التدريب الفعال هو منهج متكامل يركز علي تعزيز المهارات الحياتية الأساسية للطلاب والمعلمين السعوديين؛ وتعزيز الكفاءة المهنية لدى المتعلمين والخريجين . ويعد التعليم المستمر مفيدا لتحسين جودة الحياة العامة والدخل المادي وتحسين نوعية حياتهم اليومية والمجتمع المحلي والإقليمي,Tashkeel_Tatweel_Preprocessed,GPT,plain_question
