QuestionText,Category,Answer
ايهما افضل الدراسة السابق الوقت الحالي,التعليم,الدراسة الوقت الحالي تعتبر افضل بسبب توفر التكنولوجيا والموارد التعليمية الحديثة
اليس القطن عماد الثروة مصر,الاقتصاد والعمل,القطن يعتبر اهم المنتجات الزراعية مصر ويعد الاعمدة الرييسية للاقتصاد المصري
اتصعد الشمس الشرق,التعليم,الشمس تصعد الشرق
اتعرف البكتيريا بانها كاينات حية دقيقة,التعليم,البكتيريا تعرف بانها كاينات حية دقيقة
ايتكون الهواء اساسا النيتروجين,التعليم,الهواء يتكون اساسا النيتروجين
ايفرز البنكرياس الانسولين,الصحة,يفرز البنكرياس الانسولين
ايتكون الماء الهيدروجين والاوكسجين,التعليم,الماء يتكون الهيدروجين والاوكسجين
ايوجد فيتامين سي البرتقال,الصحة,فيتامين سي يوجد البرتقال
ايتنفس السمك باستخدام الخياشيم,التعليم,يتنفس السمك باستخدام الخياشيم
ايمكن للنباتات تقوم بعملية البناء الضويي,التعليم,يمكن للنباتات تقوم بعملية البناء الضويي
ايتكون الذهب عنصر واحد,التعليم,يتكون الذهب عنصر
ايتكون الخشب الياف نباتية,التعليم,يتكون الخشب الياف نباتية
ايتغذى الاسد اللحوم,التعليم,يتغذى الاسد اللحوم
ايتكون الدم خلايا حمراء وبيضاء,الصحة,يتكون الدم خلايا حمراء وبيضاء
ايتغذى النحل رحيق الازهار,التعليم,يتغذى النحل رحيق الازهار
ايتكون اللبن بروتينات ودهون,التعليم,يتكون اللبن بروتينات ودهون
ايمكن للحشرات تطير,التعليم,يمكن للحشرات تطير
ايتغذى الدب القطبي اللحوم,التعليم,يتغذى الدب القطبي اللحوم
ايتكون الزيت دهون نباتية,التعليم,يتكون الزيت دهون نباتية
ايتكون السكر جزييات كربون واوكسجين,التعليم,يتكون السكر جزييات كربون واوكسجين
ايتكون الحجر الجيري كربونات الكالسيوم,التعليم,يتكون الحجر الجيري كربونات الكالسيوم
