QuestionText,Category,Answer
ييهما يفضل الدراسة السابق يم الوقت الحالي,التعليم,الدراسة الوقت الحالي تعتبر يفضل بسبب توفر التكنولوجيا والموارد التعليمية الحديثة
يليس القطن عماد الثروة مصر,الاقتصاد والعمل,القطن يعتبر يهم المنتجات الزراعية مصر ويعد اليعمدة الرييسية للاقتصاد المصري
يتصعد الشمس الشرق,التعليم,الشمس تصعد الشرق
يتعرف البكتيريا بينها كاينات حية دقيقة,التعليم,البكتيريا تعرف بينها كاينات حية دقيقة
ييتكون الهواي يساسا النيتروجين,التعليم,الهواي يتكون يساسا النيتروجين
ييفرز البنكرياس الينسولين,الصحة,يفرز البنكرياس الينسولين
ييتكون الماي الهيدروجين واليوكسجين,التعليم,الماي يتكون الهيدروجين واليوكسجين
ييوجد فيتامين سي البرتقال,الصحة,فيتامين سي يوجد البرتقال
ييتنفس السمك باستخدام الخياشيم,التعليم,يتنفس السمك باستخدام الخياشيم
ييمكن للنباتات تقوم بعملية البناي الضويي,التعليم,يمكن للنباتات تقوم بعملية البناي الضويي
ييتكون الذهب عنصر واحد,التعليم,يتكون الذهب عنصر واحد
ييتكون الخشب يلياف نباتية,التعليم,يتكون الخشب يلياف نباتية
ييتغذى اليسد اللحوم,التعليم,يتغذى اليسد اللحوم
ييتكون الدم خلايا حمراي وبيضاي,الصحة,يتكون الدم خلايا حمراي وبيضاي
ييتغذى النحل رحيق اليزهار,التعليم,يتغذى النحل رحيق اليزهار
ييتكون اللبن بروتينات ودهون,التعليم,يتكون اللبن بروتينات ودهون
ييمكن للحشرات تطير,التعليم,يمكن للحشرات تطير
ييتغذى الدب القطبي اللحوم,التعليم,يتغذى الدب القطبي اللحوم
ييتكون الزيت دهون نباتية,التعليم,يتكون الزيت دهون نباتية
ييتكون السكر جزييات كربون ويوكسجين,التعليم,يتكون السكر جزييات كربون ويوكسجين
ييتكون الحجر الجيري كربونات الكالسيوم,التعليم,يتكون الحجر الجيري كربونات الكالسيوم
ييتغذى الفيل النباتات,التعليم,يتغذى الفيل النباتات
ييتكون الهواي خليط الغازات,التعليم,يتكون الهواي خليط الغازات
ييمكن للنمل يرفع يوزانا تفوق وزنه,التعليم,يمكن للنمل يرفع يوزانا تفوق وزنه
ييتكون الزجاج رمل السيليكا,التعليم,يتكون الزجاج رمل السيليكا
ييتطلب الحاسوب وجود تيار كهربايي,التكنولوجيا,يتطلب الحاسوب وجود تيار كهربايي
ييمكن للطيور تعيش الماي,التعليم,معظم الطيور يمكنها تعيش الماي
ييتغذى الحوت الكاينات البحرية الصغيرة,التعليم,يتغذى الحوت الكاينات البحرية الصغيرة
ييمكن للينسان يعيش بدون قلب,الصحة,يمكن للينسان يعيش بدون قلب
ييتغير لون يوراق اليشجار الخريف,التعليم,يتغير لون يوراق اليشجار الخريف
ييمكن للضوي ينكسر مروره خلال الماي,التعليم,يمكن للضوي ينكسر مروره خلال الماي
ييتكون الجليد درجات حرارة منخفضة,التعليم,يتكون الجليد درجات حرارة منخفضة
ييتحكم الدماغ وظايف الجسم,التعليم,يتحكم الدماغ وظايف الجسم
ييمكن للينسان يسمع اليصوات الاتجاهات,الصحة,يمكن للينسان يسمع اليصوات الاتجاهات
ييوجد الماي حالات صلبة وسايلة وغازية,التعليم,يوجد الماي حالات صلبة وسايلة وغازية
ييمكن للينسان يشعر بالحرارة والبرودة,الصحة,يمكن للينسان يشعر بالحرارة والبرودة
ييتكون الرمل جزييات صغيرة الصخور,التعليم,يتكون الرمل جزييات صغيرة الصخور
ييتطلب النمو السليم للنباتات وجود ضوي الشمس,التعليم,يتطلب النمو السليم للنباتات وجود ضوي الشمس
ييمكن للينسان يرى الظلام,التعليم,يمكن للينسان يرى الظلام
ييمكن للينسان يعيش سطح القمر,التعليم,يمكن للينسان يعيش سطح القمر بدون معدات خاصة
ييتكون الفحم بقايا نباتية,التعليم,يتكون الفحم بقايا نباتية
ييتغير لون السماي الوقت اليوم,التعليم,يتغير لون السماي الوقت اليوم
ييتحرك الهواي مناطق الضغط العالي يلى المنخفض,التعليم,يتحرك الهواي مناطق الضغط العالي يلى المنخفض
ييتطلب التنفس وجود اليوكسجين,الصحة,يتطلب التنفس وجود اليوكسجين
ييمكن للنباتات تنمو بدون ماي,التعليم,يمكن للنباتات تنمو بدون ماي
ييتغير لون البشرة بالتعرض للشمس,الصحة,يتغير لون البشرة بالتعرض للشمس
ييتطلب التبخر وجود حرارة,التعليم,يتطلب التبخر وجود حرارة
ييمكن للينسان يعيش بدون نوم,الصحة,يمكن للينسان يعيش بدون نوم لفترة طويلة
ييتغير لون السمك تغير البيية,التعليم,يتغير لون السمك تغير البيية
ييتطلب النمو السليم للينسان وجود غذاي متوازن,الصحة,يتطلب النمو السليم للينسان وجود غذاي متوازن
ييتغير لون الثلج التلوث,البيئة والطاقة,يمكن يتغير لون الثلج التلوث
ييمكن للينسان يرى اليشياي بواسطة العيون,الصحة,يمكن للينسان يرى اليشياي بواسطة العيون
سيدنا محمد صلى الله سلم يول المسلمين,الدين,نعم سيدنا محمد صلى الله سلم يعتبر يول المسلمين
ييثم الحاكم يحكم ينزل الله وشرع,الدين,نعم ييثم الحاكم يحكم ينزل الله وشرع
الماي يتجمد درجة حرارة صفر ميوية,التعليم,الماي يتجمد درجة حرارة صفر ميوية
الشمس يقرب نجم يلى اليرض,التعليم,الشمس يقرب نجم يلى اليرض
نجيب محفوظ ميلف رواية الييام,الثقافة,طه حسين ميلف رواية الييام
الزرافة يطول حيوان بري,التعليم,الزرافة يطول حيوان بري
تعد اللغة الصينية اللغات السامية,الثقافة,اللغة الصينية اللغات السامية
يستخدم الذهب صناعة اليلكترونيات,التكنولوجيا,يستخدم الذهب صناعة اليلكترونيات
تحتوي الخلية النباتية جدار خلوي,التعليم,تحتوي الخلية النباتية جدار خلوي
يمكن للحوت اليزرق يتنفس الماي,التعليم,يمكن للحوت اليزرق يتنفس الماي
يمكن للبكتيريا تعيش ظروف خالية اليكسجين,الصحة,يمكن للبكتيريا تعيش ظروف خالية اليوكسجين
تستخدم الخلايا الشمسية لتحويل الطاقة الشمسية يلى كهرباي,التكنولوجيا,تستخدم الخلايا الشمسية لتحويل الطاقة الشمسية يلى كهرباي
تعد الدلافين الثدييات,التعليم,تعد الدلافين الثدييات
يمكن للينسان يرى باليشعة الحمراي,التعليم,يمكن للينسان يرى باليشعة الحمراي
يعتبر الفحم الموارد المتجددة,الاقتصاد والعمل,الفحم الموارد المتجددة
نهر النيل يطول نهر العالم,التعليم,نهر النيل يطول نهر العالم
يستخدم الزيبق موازين الحرارة التقليدية,التكنولوجيا,يستخدم الزيبق موازين الحرارة التقليدية
يعتبر الزجاج موصل جيد للحرارة,التعليم,الزجاج موصل جيد للحرارة
تعتبر الزهرة كوكب النظام الشمسي,التعليم,الزهرة كوكب النظام الشمسي
يستخدم الحديد صناعة السيارات,التكنولوجيا,يستخدم الحديد صناعة السيارات
يعتبر الزيتون الفواكه,الثقافة,يعتبر الزيتون الفواكه
