QuestionText,Category,Answer
ايهما افضل الدراسة في السابق ام في الوقت الحالي؟,التعليم,الدراسة في الوقت الحالي تعتبر افضل بسبب توفر التكنولوجيا والموارد التعليمية الحديثة.
اليس القطن عماد الثروة في مصر؟,الاقتصاد والعمل,القطن يعتبر من اهم المنتجات الزراعية في مصر، ويعد من الاعمدة الرييسية للاقتصاد المصري.
اتصعد الشمس من الشرق؟,التعليم,الشمس تصعد من الشرق.
اتعرف البكتيريا بانها كاينات حية دقيقة؟,التعليم,البكتيريا تُعرف بانها كاينات حية دقيقة.
ايتكون الهواء اساساً من النيتروجين؟,التعليم,الهواء يتكون اساساً من النيتروجين.
ايفرز البنكرياس الانسولين؟,الصحة,يفرز البنكرياس الانسولين.
ايتكون الماء من الهيدروجين والاوكسجين؟,التعليم,الماء يتكون من الهيدروجين والاوكسجين.
ايوجد فيتامين سي في البرتقال؟,الصحة,فيتامين سي يوجد في البرتقال.
ايتنفس السمك باستخدام الخياشيم؟,التعليم,يتنفس السمك باستخدام الخياشيم.
ايمكن للنباتات ان تقوم بعملية البناء الضويي؟,التعليم,يمكن للنباتات ان تقوم بعملية البناء الضويي.
ايتكون الذهب من عنصر واحد؟,التعليم,يتكون الذهب من عنصر واحد.
ايتكون الخشب من الياف نباتية؟,التعليم,يتكون الخشب من الياف نباتية.
ايتغذى الاسد على اللحوم؟,التعليم,يتغذى الاسد على اللحوم.
ايتكون الدم من خلايا حمراء وبيضاء؟,الصحة,يتكون الدم من خلايا حمراء وبيضاء.
ايتغذى النحل على رحيق الازهار؟,التعليم,يتغذى النحل على رحيق الازهار.
ايتكون اللبن من بروتينات ودهون؟,التعليم,يتكون اللبن من بروتينات ودهون.
ايمكن للحشرات ان تطير؟,التعليم,يمكن للحشرات ان تطير.
ايتغذى الدب القطبي على اللحوم؟,التعليم,يتغذى الدب القطبي على اللحوم.
ايتكون الزيت من دهون نباتية؟,التعليم,يتكون الزيت من دهون نباتية.
ايتكون السكر من جزييات كربون واوكسجين؟,التعليم,يتكون السكر من جزييات كربون واوكسجين.
ايتكون الحجر الجيري من كربونات الكالسيوم؟,التعليم,يتكون الحجر الجيري من كربونات الكالسيوم.
ايتغذى الفيل على النباتات؟,التعليم,يتغذى الفيل على النباتات.
ايتكون الهواء من خليط من الغازات؟,التعليم,يتكون الهواء من خليط من الغازات.
ايمكن للنمل ان يرفع اوزاناً تفوق وزنه؟,التعليم,يمكن للنمل ان يرفع اوزاناً تفوق وزنه.
ايتكون الزجاج من رمل السيليكا؟,التعليم,يتكون الزجاج من رمل السيليكا.
ايتطلب الحاسوب وجود تيار كهربايي؟,التكنولوجيا,يتطلب الحاسوب وجود تيار كهربايي.
ايمكن للطيور ان تعيش في الماء؟,التعليم,معظم الطيور لا يمكنها ان تعيش في الماء.
ايتغذى الحوت على الكاينات البحرية الصغيرة؟,التعليم,يتغذى الحوت على الكاينات البحرية الصغيرة.
ايمكن للانسان ان يعيش بدون قلب؟,الصحة,لا يمكن للانسان ان يعيش بدون قلب.
ايتغير لون اوراق الاشجار في الخريف؟,التعليم,يتغير لون اوراق الاشجار في الخريف.
ايمكن للضوء ان ينكسر عند مروره خلال الماء؟,التعليم,يمكن للضوء ان ينكسر عند مروره خلال الماء.
ايتكون الجليد عند درجات حرارة منخفضة؟,التعليم,يتكون الجليد عند درجات حرارة منخفضة.
ايتحكم الدماغ في جميع وظايف الجسم؟,التعليم,يتحكم الدماغ في جميع وظايف الجسم.
ايمكن للانسان ان يسمع الاصوات من جميع الاتجاهات؟,الصحة,يمكن للانسان ان يسمع الاصوات من جميع الاتجاهات.
ايوجد الماء في حالات صلبة وسايلة وغازية؟,التعليم,يوجد الماء في حالات صلبة وسايلة وغازية.
ايمكن للانسان ان يشعر بالحرارة والبرودة؟,الصحة,يمكن للانسان ان يشعر بالحرارة والبرودة.
ايتكون الرمل من جزييات صغيرة من الصخور؟,التعليم,يتكون الرمل من جزييات صغيرة من الصخور.
ايتطلب النمو السليم للنباتات وجود ضوء الشمس؟,التعليم,يتطلب النمو السليم للنباتات وجود ضوء الشمس.
ايمكن للانسان ان يرى في الظلام؟,التعليم,لا يمكن للانسان ان يرى في الظلام.
ايمكن للانسان ان يعيش على سطح القمر؟,التعليم,لا يمكن للانسان ان يعيش على سطح القمر بدون معدات خاصة.
ايتكون الفحم من بقايا نباتية؟,التعليم,يتكون الفحم من بقايا نباتية.
ايتغير لون السماء حسب الوقت من اليوم؟,التعليم,يتغير لون السماء حسب الوقت من اليوم.
ايتحرك الهواء من مناطق الضغط العالي الى المنخفض؟,التعليم,يتحرك الهواء من مناطق الضغط العالي الى المنخفض.
ايتطلب التنفس وجود الاوكسجين؟,الصحة,يتطلب التنفس وجود الاوكسجين.
ايمكن للنباتات ان تنمو بدون ماء؟,التعليم,لا يمكن للنباتات ان تنمو بدون ماء.
ايتغير لون البشرة بالتعرض للشمس؟,الصحة,يتغير لون البشرة بالتعرض للشمس.
ايتطلب التبخر وجود حرارة؟,التعليم,يتطلب التبخر وجود حرارة.
ايمكن للانسان ان يعيش بدون نوم؟,الصحة,لا يمكن للانسان ان يعيش بدون نوم لفترة طويلة.
ايتغير لون السمك مع تغير البيية؟,التعليم,يتغير لون السمك مع تغير البيية.
ايتطلب النمو السليم للانسان وجود غذاء متوازن؟,الصحة,يتطلب النمو السليم للانسان وجود غذاء متوازن.
ايتغير لون الثلج مع التلوث؟,البيئة والطاقة,يمكن ان يتغير لون الثلج مع التلوث.
ايمكن للانسان ان يرى الاشياء بواسطة العيون؟,الصحة,يمكن للانسان ان يرى الاشياء بواسطة العيون.
هل سيدنا محمد (صلى الله عليه و سلم) هو اول المسلمين؟,الدين,نعم، سيدنا محمد (صلى الله عليه و سلم) يعتبر اول المسلمين.
هل يوثم الحاكم الذي لا يحكم بما انزل الله وشرّع؟,الدين,نعم، يوثم الحاكم الذي لا يحكم بما انزل الله وشرّع.
هل الماء يتجمد عند درجة حرارة صفر ميوية؟,التعليم,الماء يتجمد عند درجة حرارة صفر ميوية.
هل الشمس هي اقرب نجم الى الارض؟,التعليم,الشمس هي اقرب نجم الى الارض.
"هل نجيب محفوظ هو مولف رواية ""الايام""؟",الثقافة,"طه حسين هو مولف رواية ""الايام""."
هل الزرافة هي اطول حيوان بري؟,التعليم,الزرافة هي اطول حيوان بري.
هل تعد اللغة الصينية من اللغات السامية؟,الثقافة,اللغة الصينية ليست من اللغات السامية.
هل يُستخدم الذهب في صناعة الالكترونيات؟,التكنولوجيا,يُستخدم الذهب في صناعة الالكترونيات.
هل تحتوي الخلية النباتية على جدار خلوي؟,التعليم,تحتوي الخلية النباتية على جدار خلوي.
هل يمكن للحوت الازرق ان يتنفس تحت الماء؟,التعليم,لا يمكن للحوت الازرق ان يتنفس تحت الماء.
هل يمكن للبكتيريا ان تعيش في ظروف خالية من الاكسجين؟,الصحة,يمكن للبكتيريا ان تعيش في ظروف خالية من الاوكسجين.
هل تُستخدم الخلايا الشمسية لتحويل الطاقة الشمسية الى كهرباء؟,التكنولوجيا,تُستخدم الخلايا الشمسية لتحويل الطاقة الشمسية الى كهرباء.
هل تُعد الدلافين من الثدييات؟,التعليم,تُعد الدلافين من الثدييات.
هل يمكن للانسان ان يرى بالاشعة تحت الحمراء؟,التعليم,لا يمكن للانسان ان يرى بالاشعة تحت الحمراء.
هل يُعتبر الفحم من الموارد المتجددة؟,الاقتصاد والعمل,الفحم ليس من الموارد المتجددة.
هل نهر النيل هو اطول نهر في العالم؟,التعليم,نهر النيل هو اطول نهر في العالم.
هل يُستخدم الزيبق في موازين الحرارة التقليدية؟,التكنولوجيا,يُستخدم الزيبق في موازين الحرارة التقليدية.
هل يُعتبر الزجاج موصل جيد للحرارة؟,التعليم,الزجاج ليس موصل جيد للحرارة.
هل تعتبر الزهرة ثاني كوكب في النظام الشمسي؟,التعليم,الزهرة هي ثاني كوكب في النظام الشمسي.
هل يُستخدم الحديد في صناعة السيارات؟,التكنولوجيا,يُستخدم الحديد في صناعة السيارات.
هل يُعتبر الزيتون من الفواكه؟,الثقافة,يُعتبر الزيتون من الفواكه.
هل تُعد القهوة مشروباً يحتوي على الكافيين؟,الثقافة,القهوة تحتوي على الكافيين.
هل يمكن للحيوانات البرمايية ان تعيش في الماء وعلى اليابسة؟,التعليم,يمكن للحيوانات البرمايية ان تعيش في الماء وعلى اليابسة.
هل تُستخدم الالياف البصرية لنقل البيانات؟,التكنولوجيا,تُستخدم الالياف البصرية لنقل البيانات.
